task_id,split,in_frame,declined_reason,block_rows,block_columns,identity_layout,n_blocks,blocks_described,blocks_determined,blocks_ambiguous,blocks_unmatched,fixed_layout_determined,state_layout_determined
9110e3c5,training,False,output_not_block_multiple,,,,,,,,,,
913fb3ed,training,True,,1,1,True,4,0,0,0,4,False,False
91413438,training,False,inconsistent_block_layout,,,,,,,,,,
91714a58,training,True,,1,1,True,3,0,0,0,3,False,False
9172f3a0,training,True,,3,3,False,18,8,8,0,10,False,False
917bccba,training,True,,1,1,True,3,0,0,0,3,False,False
928ad970,training,True,,1,1,True,3,0,0,0,3,False,False
92e50de0,training,True,,1,1,True,3,0,0,0,3,False,False
9344f635,training,True,,1,1,True,3,0,0,0,3,False,False
9356391f,training,True,,1,1,True,2,0,0,0,2,False,False
93b4f4b3,training,False,output_not_block_multiple,,,,,,,,,,
93b581b8,training,True,,1,1,True,3,0,0,0,3,False,False
93c31fbe,training,True,,1,1,True,3,0,0,0,3,False,False
94133066,training,False,output_not_block_multiple,,,,,,,,,,
941d9a10,training,True,,1,1,True,3,0,0,0,3,False,False
94414823,training,True,,1,1,True,3,0,0,0,3,False,False
9473c6fb,training,True,,1,1,True,3,0,0,0,3,False,False
94be5b80,training,True,,1,1,True,2,0,0,0,2,False,False
94f9d214,training,False,output_not_block_multiple,,,,,,,,,,
952a094c,training,True,,1,1,True,3,0,0,0,3,False,False
9565186b,training,True,,1,1,True,4,0,0,0,4,False,False
95755ff2,training,True,,1,1,True,3,0,0,0,3,False,False
95990924,training,True,,1,1,True,3,0,0,0,3,False,False
95a58926,training,True,,1,1,True,3,0,0,0,3,False,False
963c33f8,training,True,,1,1,True,3,0,0,0,3,False,False
963e52fc,training,True,,1,2,False,6,4,3,1,2,False,False
963f59bc,training,True,,1,1,True,4,0,0,0,4,False,False
96a8c0cd,training,True,,1,1,True,4,0,0,0,4,False,False
9720b24f,training,True,,1,1,True,4,0,0,0,4,False,False
97239e3d,training,True,,1,1,True,3,0,0,0,3,False,False
973e499e,training,False,inconsistent_block_layout,,,,,,,,,,
9772c176,training,True,,1,1,True,2,0,0,0,2,False,False
97999447,training,True,,1,1,True,3,0,0,0,3,False,False
97a05b5b,training,False,output_not_block_multiple,,,,,,,,,,
97c75046,training,True,,1,1,True,3,0,0,0,3,False,False
981add89,training,True,,1,1,True,2,0,0,0,2,False,False
9841fdad,training,True,,1,1,True,2,0,0,0,2,False,False
984d8a3e,training,True,,1,1,True,2,0,0,0,2,False,False
985ae207,training,True,,1,1,True,3,0,0,0,3,False,False
98c475bf,training,True,,1,1,True,4,0,0,0,4,False,False
98cf29f8,training,True,,1,1,True,3,0,0,0,3,False,False
992798f6,training,True,,1,1,True,4,0,0,0,4,False,False
99306f82,training,True,,1,1,True,3,0,0,0,3,False,False
995c5fa3,training,False,output_not_block_multiple,,,,,,,,,,
9968a131,training,True,,1,1,True,2,0,0,0,2,False,False
996ec1f3,training,False,output_not_block_multiple,,,,,,,,,,
99b1bc43,training,False,output_not_block_multiple,,,,,,,,,,
99caaf76,training,True,,1,1,True,3,0,0,0,3,False,False
99fa7670,training,True,,1,1,True,4,0,0,0,4,False,False
9a4bb226,training,False,output_not_block_multiple,,,,,,,,,,
9aec4887,training,False,output_not_block_multiple,,,,,,,,,,
9af7a82c,training,False,output_not_block_multiple,,,,,,,,,,
9b2a60aa,training,True,,1,1,True,3,0,0,0,3,False,False
9b30e358,training,True,,1,1,True,2,0,0,0,2,False,False
9b365c51,training,True,,1,1,True,3,0,0,0,3,False,False
9b4c17c4,training,True,,1,1,True,4,0,0,0,4,False,False
9b5080bb,training,True,,1,1,True,3,0,0,0,3,False,False
9ba4a9aa,training,False,output_not_block_multiple,,,,,,,,,,
9bebae7a,training,True,,1,1,True,5,0,0,0,5,False,False
9c1e755f,training,True,,1,1,True,4,0,0,0,4,False,False
9c56f360,training,True,,1,1,True,3,0,0,0,3,False,False
9caba7c3,training,True,,1,1,True,3,0,0,0,3,False,False
9caf5b84,training,True,,1,1,True,4,0,0,0,4,False,False
9d9215db,training,True,,1,1,True,3,0,0,0,3,False,False
9ddd00f0,training,True,,1,1,True,2,0,0,0,2,False,False
9def23fe,training,True,,1,1,True,3,0,0,0,3,False,False
9dfd6313,training,True,,1,1,True,3,0,0,0,3,False,False
9edfc990,training,True,,1,1,True,3,0,0,0,3,False,False
9f236235,training,False,output_not_block_multiple,,,,,,,,,,
9f27f097,training,True,,1,1,True,3,0,0,0,3,False,False
9f41bd9c,training,True,,1,1,True,2,0,0,0,2,False,False
9f5f939b,training,True,,1,1,True,3,0,0,0,3,False,False
9f669b64,training,True,,1,1,True,3,0,0,0,3,False,False
9f8de559,training,True,,1,1,True,4,0,0,0,4,False,False
a04b2602,training,True,,1,1,True,3,0,0,0,3,False,False
a096bf4d,training,True,,1,1,True,3,0,0,0,3,False,False
a09f6c25,training,True,,1,1,True,3,0,0,0,3,False,False
a1570a43,training,True,,1,1,True,4,0,0,0,4,False,False
a1aa0c1e,training,False,output_not_block_multiple,,,,,,,,,,
a2d730bd,training,True,,1,1,True,3,0,0,0,3,False,False
a2fd1cf0,training,True,,1,1,True,3,0,0,0,3,False,False
a3325580,training,False,output_not_block_multiple,,,,,,,,,,
a3f84088,training,True,,1,1,True,4,0,0,0,4,False,False
a406ac07,training,True,,1,1,True,3,0,0,0,3,False,False
a416b8f3,training,True,,1,2,False,6,6,6,0,0,True,False
a416fc5b,training,False,output_not_block_multiple,,,,,,,,,,
a48eeaf7,training,True,,1,1,True,2,0,0,0,2,False,False
a5313dff,training,True,,1,1,True,3,0,0,0,3,False,False
a57f2f04,training,True,,1,1,True,3,0,0,0,3,False,False
